lemma,wethey_past,pastpart,i_pres,wethey_pres,you_pres,hsi_pres,prespart,i_past,you_past,hsi_past
bless,blessed,blessed,bless,bless,bless,blesses,blessing,blessed,blessed,blessed
blind,blinded,blinded,blind,blind,blind,blinds,blinding,blinded,blinded,blinded
blink,blinked,blinked,blink,blink,blink,blinks,blinking,blinked,blinked,blinked
blot,blotted,blotted,blot,blot,blot,blots,blotting,blotted,blotted,blotted
blush,blushed,blushed,blush,blush,blush,blushes,blushing,blushed,blushed,blushed
boast,boasted,boasted,boast,boast,boast,boasts,boasting,boasted,boasted,boasted
boil,boiled,boiled,boil,boil,boil,boils,boiling,boiled,boiled,boiled
bomb,bombed,bombed,bomb,bomb,bomb,bombs,bombing,bombed,bombed,bombed
book,booked,booked,book,book,book,books,booking,booked,booked,booked
bore,bored,bored,bore,bore,bore,bores,boring,bored,bored,bored
borrow,borrowed,borrowed,borrow,borrow,borrow,borrows,borrowing,borrowed,borrowed,borrowed
bounce,bounced,bounced,bounce,bounce,bounce,bounces,bouncing,bounced,bounced,bounced
bow,bowed,bowed,bow,bow,bow,bows,bowing,bowed,bowed,bowed
box,boxed,boxed,box,box,box,boxes,boxing,boxed,boxed,boxed
brake,braked,braked,brake,brake,brake,brakes,braking,braked,braked,braked
branch,branched,branched,branch,branch,branch,branches,branching,branched,branched,branched
breathe,breathed,breathed,breathe,breathe,breathe,breathes,breathing,breathed,breathed,breathed
bruise,bruised,bruised,bruise,bruise,bruise,bruises,bruising,bruised,bruised,bruised
brush,brushed,brushed,brush,brush,brush,brushes,brushing,brushed,brushed,brushed
bubble,bubbled,bubbled,bubble,bubble,bubble,bubbles,bubbling,bubbled,bubbled,bubbled
bump,bumped,bumped,bump,bump,bump,bumps,bumping,bumped,bumped,bumped
burn,burned,burned,burn,burn,burn,burns,burning,burned,burned,burned
bury,buried,buried,bury,bury,bury,buries,burying,buried,buried,buried
buzz,buzzed,buzzed,buzz,buzz,buzz,buzzes,buzzing,buzzed,buzzed,buzzed
calculate,calculated,calculated,calculate,calculate,calculate,calculates,calculating,calculated,calculated,calculated
call,called,called,call,call,call,calls,calling,called,called,called
camp,camped,camped,camp,camp,camp,camps,camping,camped,camped,camped
care,cared,cared,care,care,care,cares,caring,cared,cared,cared
carry,carried,carried,carry,carry,carry,carries,carrying,carried,carried,carried
carve,carved,carved,carve,carve,carve,carves,carving,carved,carved,carved
cause,caused,caused,cause,cause,cause,causes,causing,caused,caused,caused
challenge,challenged,challenged,challenge,challenge,challenge,challenges,challenging,challenged,challenged,challenged
change,changed,changed,change,change,change,changes,changing,changed,changed,changed
charge,charged,charged,charge,charge,charge,charges,charging,charged,charged,charged
chase,chased,chased,chase,chase,chase,chases,chasing,chased,chased,chased
cheat,cheated,cheated,cheat,cheat,cheat,cheats,cheating,cheated,cheated,cheated
check,checked,checked,check,check,check,checks,checking,checked,checked,checked
cheer,cheered,cheered,cheer,cheer,cheer,cheers,cheering,cheered,cheered,cheered
chew,chewed,chewed,chew,chew,chew,chews,chewing,chewed,chewed,chewed
choke,choked,choked,choke,choke,choke,chokes,choking,choked,choked,choked
chop,chopped,chopped,chop,chop,chop,chops,chopping,chopped,chopped,chopped
claim,claimed,claimed,claim,claim,claim,claims,claiming,claimed,claimed,claimed
clap,clapped,clapped,clap,clap,clap,claps,clapping,clapped,clapped,clapped
clean,cleaned,cleaned,clean,clean,clean,cleans,cleaning,cleaned,cleaned,cleaned
clear,cleared,cleared,clear,clear,clear,clears,clearing,cleared,cleared,cleared
clip,clipped,clipped,clip,clip,clip,clips,clipping,clipped,clipped,clipped
close,closed,closed,close,close,close,closes,closing,closed,closed,closed
coach,coached,coached,coach,coach,coach,coaches,coaching,coached,coached,coached
coil,coiled,coiled,coil,coil,coil,coils,coiling,coiled,coiled,coiled
collect,collected,collected,collect,collect,collect,collects,collecting,collected,collected,collected
colour,coloured,coloured,colour,colour,colour,colours,colouring,coloured,coloured,coloured
comb,combed,combed,comb,comb,comb,combs,combing,combed,combed,combed
command,commanded,commanded,command,command,command,commands,commanding,commanded,commanded,commanded
communicate,communicated,communicated,communicate,communicate,communicate,communicates,communicating,communicated,communicated,communicated
compare,compared,compared,compare,compare,compare,compares,comparing,compared,compared,compared
compete,competed,competed,compete,compete,compete,competes,competing,competed,competed,competed
complain,complained,complained,complain,complain,complain,complains,complaining,complained,complained,complained
complete,completed,completed,complete,complete,complete,completes,completing,completed,completed,completed
concentrate,concentrated,concentrated,concentrate,concentrate,concentrate,concentrates,concentrating,concentrated,concentrated,concentrated
concern,concerned,concerned,concern,concern,concern,concerns,concerning,concerned,concerned,concerned
confess,confessed,confessed,confess,confess,confess,confesses,confessing,confessed,confessed,confessed
confuse,confused,confused,confuse,confuse,confuse,confuses,confusing,confused,confused,confused
connect,connected,connected,connect,connect,connect,connects,connecting,connected,connected,connected
consider,considered,considered,consider,consider,consider,considers,considering,considered,considered,considered
consist,consisted,consisted,consist,consist,consist,consists,consisting,consisted,consisted,consisted
contain,contained,contained,contain,contain,contain,contains,containing,contained,contained,contained
continue,continued,continued,continue,continue,continue,continues,continuing,continued,continued,continued
copy,copied,copied,copy,copy,copy,copies,copying,copied,copied,copied
correct,corrected,corrected,correct,correct,correct,corrects,correcting,corrected,corrected,corrected
cough,coughed,coughed,cough,cough,cough,coughs,coughing,coughed,coughed,coughed
count,counted,counted,count,count,count,counts,counting,counted,counted,counted
cover,covered,covered,cover,cover,cover,covers,covering,covered,covered,covered
crack,cracked,cracked,crack,crack,crack,cracks,cracking,cracked,cracked,cracked
crash,crashed,crashed,crash,crash,crash,crashes,crashing,crashed,crashed,crashed
crawl,crawled,crawled,crawl,crawl,crawl,crawls,crawling,crawled,crawled,crawled
cross,crossed,crossed,cross,cross,cross,crosses,crossing,crossed,crossed,crossed
crush,crushed,crushed,crush,crush,crush,crushes,crushing,crushed,crushed,crushed
cry,cried,cried,cry,cry,cry,cries,crying,cried,cried,cried
cure,cured,cured,cure,cure,cure,cures,curing,cured,cured,cured
curl,curled,curled,curl,curl,curl,curls,curling,curled,curled,curled
curve,curved,curved,curve,curve,curve,curves,curving,curved,curved,curved
cycle,cycled,cycled,cycle,cycle,cycle,cycles,cycling,cycled,cycled,cycled
dam,dammed,dammed,dam,dam,dam,dams,damming,dammed,dammed,dammed
damage,damaged,damaged,damage,damage,damage,damages,damaging,damaged,damaged,damaged
dance,danced,danced,dance,dance,dance,dances,dancing,danced,danced,danced
dare,dared,dared,dare,dare,dare,dares,daring,dared,dared,dared
decay,decayed,decayed,decay,decay,decay,decays,decaying,decayed,decayed,decayed
deceive,deceived,deceived,deceive,deceive,deceive,deceives,deceiving,deceived,deceived,deceived
decide,decided,decided,decide,decide,decide,decides,deciding,decided,decided,decided
decorate,decorated,decorated,decorate,decorate,decorate,decorates,decorating,decorated,decorated,decorated
delay,delayed,delayed,delay,delay,delay,delays,delaying,delayed,delayed,delayed
delight,delighted,delighted,delight,delight,delight,delights,delighting,delighted,delighted,delighted
deliver,delivered,delivered,deliver,deliver,deliver,delivers,delivering,delivered,delivered,delivered
depend,depended,depended,depend,depend,depend,depends,depending,depended,depended,depended
describe,described,described,describe,describe,describe,describes,describing,described,described,described
desert,deserted,deserted,desert,desert,desert,deserts,deserting,deserted,deserted,deserted
deserve,deserved,deserved,deserve,deserve,deserve,deserves,deserving,deserved,deserved,deserved
destroy,destroyed,destroyed,destroy,destroy,destroy,destroys,destroying,destroyed,destroyed,destroyed
detect,detected,detected,detect,detect,detect,detects,detecting,detected,detected,detected
